model,use_reasoning,query_type,variant,n,k,hit_rate,boot_ci_lo,boot_ci_hi,cp_ci_lo,cp_ci_hi
style,False,direct_query,precision,429,368,0.8578088578088578,0.8228438228438228,0.8904428904428905,0.8211277164169446,0.8894580342699127
style,False,direct_query,style,429,376,0.8764568764568764,0.8438228438228438,0.9067599067599068,0.8415334343954067,0.9060722959676452
style,False,direct_query,text_shrink,429,381,0.8881118881118881,0.8578088578088578,0.916083916083916,0.8543993041875344,0.9163413457081576
style,False,relational_query,original,429,118,0.27505827505827507,0.2331002331002331,0.317016317016317,0.2333149135064328,0.31993551573588963
style,False,relational_query,precision,429,102,0.23776223776223776,0.19813519813519814,0.2773892773892774,0.19824049110352082,0.2809435495103326
style,False,relational_query,style,429,115,0.2680652680652681,0.2261072261072261,0.31002331002331,0.22670884156606588,0.312653891769193
style,False,relational_query,text_shrink,429,109,0.2540792540792541,0.21445221445221446,0.2937062937062937,0.2135368560443322,0.2980508092750609
style,True,direct_query,original,429,373,0.8694638694638694,0.8368298368298368,0.8997668997668997,0.8338569588595386,0.8998668025787799
style,True,direct_query,precision,429,348,0.8111888111888111,0.7738927738927739,0.8484848484848485,0.770888672417978,0.8471327331182843
style,True,direct_query,style,429,358,0.8344988344988346,0.7972027972027972,0.8694638694638694,0.7958845559111836,0.868421052058934
style,True,direct_query,text_shrink,429,371,0.8648018648018648,0.8321678321678322,0.8974358974358975,0.8287558826268837,0.8957128691713276
style,True,relational_query,original,429,173,0.40326340326340326,0.35664335664335667,0.44988344988344986,0.35648554885273626,0.4513848644329731
style,True,relational_query,precision,429,145,0.337995337995338,0.2937062937062937,0.3822843822843823,0.29332062983868606,0.3849227819960785
style,True,relational_query,style,429,165,0.38461538461538464,0.337995337995338,0.43123543123543123,0.33834808734404137,0.432485713201723
style,True,relational_query,text_shrink,429,166,0.38694638694638694,0.34265734265734266,0.43356643356643354,0.3406114183234848,0.4348519469556823
text_shrink_zoom,False,direct_query,original,429,385,0.8974358974358975,0.8694638694638694,0.9254079254079254,0.8647635225007736,0.9244832087190984
text_shrink_zoom,False,direct_query,precision,429,368,0.8578088578088578,0.8251748251748252,0.8904428904428905,0.8211277164169446,0.8894580342699127
text_shrink_zoom,False,direct_query,style,429,376,0.8764568764568764,0.8438228438228438,0.9067599067599068,0.8415334343954067,0.9060722959676452
text_shrink_zoom,False,direct_query,text_shrink,429,382,0.8904428904428905,0.8601398601398601,0.9184149184149184,0.856984075734017,0.9183832649203684
text_shrink_zoom,False,relational_query,original,429,119,0.2773892773892774,0.23543123543123542,0.31934731934731936,0.23551983103440968,0.3223598523286982
text_shrink_zoom,False,relational_query,precision,429,102,0.23776223776223776,0.19813519813519814,0.2773892773892774,0.19824049110352082,0.2809435495103326
text_shrink_zoom,False,relational_query,style,429,115,0.2680652680652681,0.2261072261072261,0.31002331002331,0.22670884156606588,0.312653891769193
text_shrink_zoom,False,relational_query,text_shrink,429,108,0.2517482517482518,0.21212121212121213,0.2913752913752914,0.21134688254002834,0.2956116502226065
text_shrink_zoom,True,direct_query,original,429,373,0.8694638694638694,0.8368298368298368,0.8997668997668997,0.8338569588595386,0.8998668025787799
text_shrink_zoom,True,direct_query,precision,429,348,0.8111888111888111,0.7738927738927739,0.8461538461538461,0.770888672417978,0.8471327331182843
text_shrink_zoom,True,direct_query,style,429,359,0.8368298368298368,0.8018648018648019,0.8694638694638694,0.7983970547198231,0.8705367737674189
text_shrink_zoom,True,direct_query,text_shrink,429,371,0.8648018648018648,0.8321678321678322,0.8974358974358975,0.8287558826268837,0.8957128691713276
text_shrink_zoom,True,relational_query,original,429,174,0.40559440559440557,0.358974358974359,0.4522144522144522,0.3587576430334684,0.45374236102706644
text_shrink_zoom,True,relational_query,precision,429,143,0.3333333333333333,0.289044289044289,0.37995337995337997,0.28884377178029297,0.3801407150595181
text_shrink_zoom,True,relational_query,style,429,164,0.3822843822843823,0.3356643356643357,0.4289044289044289,0.33608586773061583,0.43011837174576506
text_shrink_zoom,True,relational_query,text_shrink,429,168,0.3916083916083916,0.34498834498834496,0.4382284382284382,0.3451413994012709,0.439581105962602
